player,season_id,minutes_played,cluster,Cluster Label
Rodrigo Moreno Machado,4,101,3,Advanced Forward
Philippe Coutinho Correia,4,2,1,Target Man
Borja González Tomás,4,115,1,Target Man
Munir El Haddadi Mohamed,4,90,0,Poacher
Charles Días Barbosa de Oliveira,4,84,0,Poacher
Hugo Duro Perales,4,5,0,Poacher
Cristian Portugués Manzanera,4,159,3,Advanced Forward
Jorge Molina Vidal,4,124,0,Poacher
Jorge Franco Alviz,4,20,3,Advanced Forward
Juan Miguel Jiménez López,4,82,1,Target Man
Duje Čop,4,21,3,Advanced Forward
Emmanuel Okyere Boateng,4,61,1,Target Man
Luis Ezequiel Ávila,4,18,2,Complete Forward
Lei Wu,4,29,2,Complete Forward
Enes Ünal,4,146,3,Advanced Forward
Lorenzo Jesús Morón García,4,71,3,Advanced Forward
André Miguel Valente Silva,4,77,2,Complete Forward
Jon Bautista Orgilles,4,18,0,Poacher
Jesé Rodríguez Ruiz,4,92,1,Target Man
John Guidetti,4,12,1,Target Man
Stiven Ricardo Plaza Castillo,4,17,1,Target Man
Willian José da Silva,4,93,0,Poacher
Abel Ruiz Ortega,4,25,2,Complete Forward
Adam Hložek,281,148,0,Poacher
Sebastian Polter,281,27,2,Complete Forward
Sargis Adamyan,281,63,3,Advanced Forward
Sven Michel,281,34,2,Complete Forward
Jan Thielmann,281,11,0,Poacher
Jae-Sung Lee,281,94,3,Advanced Forward
Yorbe Vertessen,281,47,2,Complete Forward
Gonçalo Mendes Paciencia,281,62,0,Poacher
Phillip Tietz,281,151,1,Target Man
Philipp Hofmann,281,59,1,Target Man
Rafael Santos Borré Amaury,281,71,0,Poacher
Jonas Hofmann,281,170,3,Advanced Forward
Dion Drena Beljo,281,15,0,Poacher
Karim Onisiwo,281,163,0,Poacher
Borja Iglesias Quintas,281,260,2,Complete Forward
